X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
20895,30410,31355,31619,30092,24597,24749,33623,35170,36093,34735,34865,30351,26979,34297,33188,32329,31322,34509,28898,25693,32609,32216,31376,30937,30934,26406,23924,31128,31983
21173,30355,30652,31597,30061,24607,24718,33075,34772,35966,33857,34234,29951,27353,34192,33144,32089,30944,34824,28106,25356,31903,31247,30567,30174,30085,25662,23501,30461,31348
21283,30734,31036,31822,30036,24612,25077,32796,34950,36188,33866,33711,29888,27911,34416,33214,32446,30953,34912,27737,25329,31665,30880,30228,29905,29749,25354,23531,29804,31098
21549,31011,31137,31930,29896,24561,25875,32732,35044,35961,33539,33090,30057,28544,34066,33063,31851,30869,34318,27792,25664,31210,30483,29726,29438,29177,25218,23806,29961,30516
20842,30645,30500,31175,29069,23613,25339,33013,34784,35414,33237,32703,29493,27570,33343,32746,30941,30551,33495,27171,24949,30737,30094,29445,29217,28753,24604,23039,30464,29932
20762,30439,30204,30895,28627,23494,25148,33306,34758,35089,33320,32803,29077,26834,32891,32396,30874,30601,32836,26865,24660,30793,30307,29506,29643,28713,24332,22819,30193,29835
21844,30823,30427,30923,28759,24201,25828,34223,35113,35111,33954,34325,29137,26801,32888,32454,31292,30951,32704,27338,25282,31182,30829,29946,30414,29220,24591,23414,30304,30278
24291,32179,31649,31901,29598,26178,28369,35773,36364,36028,35632,35172,30540,28465,33862,33658,32490,32041,33515,28697,27107,32691,32214,31311,31280,30411,25969,25254,31271,31249
25962,32814,32294,32477,29837,27475,30366,36939,37436,37202,37194,36109,31667,30185,35005,34862,34070,33406,34516,30302,29305,34803,34328,33572,33311,32298,27921,27632,33104,33284
26984,33240,32786,32889,30077,28182,31559,37810,37923,37820,37937,36413,31956,31173,35598,35596,34783,34187,34640,30865,30582,35657,35234,34592,34096,32797,28586,28883,34060,34186
27543,33234,32660,32810,30164,28768,32072,37399,37454,37113,37451,35942,31935,31128,35045,34971,34458,33817,33919,30892,31185,35352,35090,34337,33770,32508,28790,29054,33704,33910
26266,30688,30432,30431,28408,27850,30202,33944,34151,33714,34387,33339,30135,29316,31913,31389,31402,30858,31257,29203,29516,32111,31898,31409,30855,29937,27266,27348,30619,30971
24043,27597,27690,27592,26304,26062,27351,30258,30306,30104,30792,30412,27895,26967,28456,28145,28307,27942,28552,26965,27050,28678,28690,28385,27879,27335,25210,24900,27421,27735
21831,25166,25299,25318,24525,24106,24806,27554,27650,27480,28026,28096,25655,24552,26232,26113,25997,26097,26730,25170,24659,26261,26261,26232,25814,25493,23276,22732,25309,25683
20025,23231,23415,23324,22736,22195,22810,25502,25639,25529,25922,26045,23523,22835,24496,24559,24318,24403,24868,23263,22965,24640,24618,24414,24219,23822,21756,21315,23663,24118
18892,21832,21996,21962,21130,20702,21687,24144,24163,24184,24628,24579,22010,21855,23325,23343,23253,23144,23351,21851,21774,23396,23429,23042,23153,22485,20518,20471,22501,22918
18388,21187,21366,21197,20161,19803,21283,23559,23579,23597,24181,23562,20982,21416,22730,22789,22751,22799,22448,21089,21259,22836,22829,22588,22596,21660,19734,20046,21991,22397
18296,20911,21050,20825,19733,19307,21154,23413,23458,23415,23950,22967,20471,21245,22576,22687,22649,22637,21977,20600,21242,22734,22614,22403,22476,21272,19349,20016,21877,22308
18775,21300,21405,21151,19597,19281,21854,23934,23886,23841,24423,22830,20354,22019,23118,23087,22993,22920,21907,20383,21885,23224,23154,22949,22984,21166,19257,20706,22423,22836
20973,23120,23299,22762,19837,19733,24494,26255,26347,26220,26828,23154,20596,24828,25426,25283,25289,25224,22319,20723,24554,25779,25454,25265,25264,21493,19568,23378,24839,25281
24568,26198,26427,25659,20470,20658,29326,30778,30860,30813,31482,24614,21394,29438,29799,29316,29368,29310,23705,21633,29418,30129,30005,29637,29516,22976,20321,27749,29064,29470
27605,28981,29080,28106,21157,21553,33652,34544,34447,34428,35057,26327,22198,33044,32976,32310,32126,32172,25430,22591,32990,33305,33065,32534,32405,24496,21283,30975,32030,32273
29481,30744,30756,29789,22378,22783,34518,35373,35418,35262,35927,28467,23831,33909,33354,32743,32365,33107,27431,23939,33778,33688,33082,32695,32379,26152,22666,31650,32502,32770
30523,31568,31561,30359,24080,24279,34463,35631,36117,35532,35820,30103,25872,34412,33327,32851,31976,34071,28943,25483,33427,33129,32309,31843,31766,26965,23769,31686,32573,32798
30410,31355,31619,30092,24597,24749,33623,35170,36093,34735,34865,30351,26979,34297,33188,32329,31322,34509,28898,25693,32609,32216,31376,30937,30934,26406,23924,31128,31983,32196
30355,30652,31597,30061,24607,24718,33075,34772,35966,33857,34234,29951,27353,34192,33144,32089,30944,34824,28106,25356,31903,31247,30567,30174,30085,25662,23501,30461,31348,31452
30734,31036,31822,30036,24612,25077,32796,34950,36188,33866,33711,29888,27911,34416,33214,32446,30953,34912,27737,25329,31665,30880,30228,29905,29749,25354,23531,29804,31098,31135
31011,31137,31930,29896,24561,25875,32732,35044,35961,33539,33090,30057,28544,34066,33063,31851,30869,34318,27792,25664,31210,30483,29726,29438,29177,25218,23806,29961,30516,30328
30645,30500,31175,29069,23613,25339,33013,34784,35414,33237,32703,29493,27570,33343,32746,30941,30551,33495,27171,24949,30737,30094,29445,29217,28753,24604,23039,30464,29932,29791
30439,30204,30895,28627,23494,25148,33306,34758,35089,33320,32803,29077,26834,32891,32396,30874,30601,32836,26865,24660,30793,30307,29506,29643,28713,24332,22819,30193,29835,29731
30823,30427,30923,28759,24201,25828,34223,35113,35111,33954,34325,29137,26801,32888,32454,31292,30951,32704,27338,25282,31182,30829,29946,30414,29220,24591,23414,30304,30278,30142
32179,31649,31901,29598,26178,28369,35773,36364,36028,35632,35172,30540,28465,33862,33658,32490,32041,33515,28697,27107,32691,32214,31311,31280,30411,25969,25254,31271,31249,31110
32814,32294,32477,29837,27475,30366,36939,37436,37202,37194,36109,31667,30185,35005,34862,34070,33406,34516,30302,29305,34803,34328,33572,33311,32298,27921,27632,33104,33284,33267
33240,32786,32889,30077,28182,31559,37810,37923,37820,37937,36413,31956,31173,35598,35596,34783,34187,34640,30865,30582,35657,35234,34592,34096,32797,28586,28883,34060,34186,34252
33234,32660,32810,30164,28768,32072,37399,37454,37113,37451,35942,31935,31128,35045,34971,34458,33817,33919,30892,31185,35352,35090,34337,33770,32508,28790,29054,33704,33910,34015
30688,30432,30431,28408,27850,30202,33944,34151,33714,34387,33339,30135,29316,31913,31389,31402,30858,31257,29203,29516,32111,31898,31409,30855,29937,27266,27348,30619,30971,31134
27597,27690,27592,26304,26062,27351,30258,30306,30104,30792,30412,27895,26967,28456,28145,28307,27942,28552,26965,27050,28678,28690,28385,27879,27335,25210,24900,27421,27735,27838
25166,25299,25318,24525,24106,24806,27554,27650,27480,28026,28096,25655,24552,26232,26113,25997,26097,26730,25170,24659,26261,26261,26232,25814,25493,23276,22732,25309,25683,25606
23231,23415,23324,22736,22195,22810,25502,25639,25529,25922,26045,23523,22835,24496,24559,24318,24403,24868,23263,22965,24640,24618,24414,24219,23822,21756,21315,23663,24118,24002
21832,21996,21962,21130,20702,21687,24144,24163,24184,24628,24579,22010,21855,23325,23343,23253,23144,23351,21851,21774,23396,23429,23042,23153,22485,20518,20471,22501,22918,22921
21187,21366,21197,20161,19803,21283,23559,23579,23597,24181,23562,20982,21416,22730,22789,22751,22799,22448,21089,21259,22836,22829,22588,22596,21660,19734,20046,21991,22397,22362
20911,21050,20825,19733,19307,21154,23413,23458,23415,23950,22967,20471,21245,22576,22687,22649,22637,21977,20600,21242,22734,22614,22403,22476,21272,19349,20016,21877,22308,22231
21300,21405,21151,19597,19281,21854,23934,23886,23841,24423,22830,20354,22019,23118,23087,22993,22920,21907,20383,21885,23224,23154,22949,22984,21166,19257,20706,22423,22836,22703
23120,23299,22762,19837,19733,24494,26255,26347,26220,26828,23154,20596,24828,25426,25283,25289,25224,22319,20723,24554,25779,25454,25265,25264,21493,19568,23378,24839,25281,25095
26198,26427,25659,20470,20658,29326,30778,30860,30813,31482,24614,21394,29438,29799,29316,29368,29310,23705,21633,29418,30129,30005,29637,29516,22976,20321,27749,29064,29470,29307
28981,29080,28106,21157,21553,33652,34544,34447,34428,35057,26327,22198,33044,32976,32310,32126,32172,25430,22591,32990,33305,33065,32534,32405,24496,21283,30975,32030,32273,32160
30744,30756,29789,22378,22783,34518,35373,35418,35262,35927,28467,23831,33909,33354,32743,32365,33107,27431,23939,33778,33688,33082,32695,32379,26152,22666,31650,32502,32770,32321
31568,31561,30359,24080,24279,34463,35631,36117,35532,35820,30103,25872,34412,33327,32851,31976,34071,28943,25483,33427,33129,32309,31843,31766,26965,23769,31686,32573,32798,31666
31355,31619,30092,24597,24749,33623,35170,36093,34735,34865,30351,26979,34297,33188,32329,31322,34509,28898,25693,32609,32216,31376,30937,30934,26406,23924,31128,31983,32196,30551
30652,31597,30061,24607,24718,33075,34772,35966,33857,34234,29951,27353,34192,33144,32089,30944,34824,28106,25356,31903,31247,30567,30174,30085,25662,23501,30461,31348,31452,29718
31036,31822,30036,24612,25077,32796,34950,36188,33866,33711,29888,27911,34416,33214,32446,30953,34912,27737,25329,31665,30880,30228,29905,29749,25354,23531,29804,31098,31135,29362
31137,31930,29896,24561,25875,32732,35044,35961,33539,33090,30057,28544,34066,33063,31851,30869,34318,27792,25664,31210,30483,29726,29438,29177,25218,23806,29961,30516,30328,28931
30500,31175,29069,23613,25339,33013,34784,35414,33237,32703,29493,27570,33343,32746,30941,30551,33495,27171,24949,30737,30094,29445,29217,28753,24604,23039,30464,29932,29791,28780
30204,30895,28627,23494,25148,33306,34758,35089,33320,32803,29077,26834,32891,32396,30874,30601,32836,26865,24660,30793,30307,29506,29643,28713,24332,22819,30193,29835,29731,28879
30427,30923,28759,24201,25828,34223,35113,35111,33954,34325,29137,26801,32888,32454,31292,30951,32704,27338,25282,31182,30829,29946,30414,29220,24591,23414,30304,30278,30142,29287
31649,31901,29598,26178,28369,35773,36364,36028,35632,35172,30540,28465,33862,33658,32490,32041,33515,28697,27107,32691,32214,31311,31280,30411,25969,25254,31271,31249,31110,30635
32294,32477,29837,27475,30366,36939,37436,37202,37194,36109,31667,30185,35005,34862,34070,33406,34516,30302,29305,34803,34328,33572,33311,32298,27921,27632,33104,33284,33267,32909
32786,32889,30077,28182,31559,37810,37923,37820,37937,36413,31956,31173,35598,35596,34783,34187,34640,30865,30582,35657,35234,34592,34096,32797,28586,28883,34060,34186,34252,34156
32660,32810,30164,28768,32072,37399,37454,37113,37451,35942,31935,31128,35045,34971,34458,33817,33919,30892,31185,35352,35090,34337,33770,32508,28790,29054,33704,33910,34015,33732
30432,30431,28408,27850,30202,33944,34151,33714,34387,33339,30135,29316,31913,31389,31402,30858,31257,29203,29516,32111,31898,31409,30855,29937,27266,27348,30619,30971,31134,30915
27690,27592,26304,26062,27351,30258,30306,30104,30792,30412,27895,26967,28456,28145,28307,27942,28552,26965,27050,28678,28690,28385,27879,27335,25210,24900,27421,27735,27838,27892
25299,25318,24525,24106,24806,27554,27650,27480,28026,28096,25655,24552,26232,26113,25997,26097,26730,25170,24659,26261,26261,26232,25814,25493,23276,22732,25309,25683,25606,25635
23415,23324,22736,22195,22810,25502,25639,25529,25922,26045,23523,22835,24496,24559,24318,24403,24868,23263,22965,24640,24618,24414,24219,23822,21756,21315,23663,24118,24002,24001
21996,21962,21130,20702,21687,24144,24163,24184,24628,24579,22010,21855,23325,23343,23253,23144,23351,21851,21774,23396,23429,23042,23153,22485,20518,20471,22501,22918,22921,22753
21366,21197,20161,19803,21283,23559,23579,23597,24181,23562,20982,21416,22730,22789,22751,22799,22448,21089,21259,22836,22829,22588,22596,21660,19734,20046,21991,22397,22362,22201
21050,20825,19733,19307,21154,23413,23458,23415,23950,22967,20471,21245,22576,22687,22649,22637,21977,20600,21242,22734,22614,22403,22476,21272,19349,20016,21877,22308,22231,22101
21405,21151,19597,19281,21854,23934,23886,23841,24423,22830,20354,22019,23118,23087,22993,22920,21907,20383,21885,23224,23154,22949,22984,21166,19257,20706,22423,22836,22703,22546
23299,22762,19837,19733,24494,26255,26347,26220,26828,23154,20596,24828,25426,25283,25289,25224,22319,20723,24554,25779,25454,25265,25264,21493,19568,23378,24839,25281,25095,24987
26427,25659,20470,20658,29326,30778,30860,30813,31482,24614,21394,29438,29799,29316,29368,29310,23705,21633,29418,30129,30005,29637,29516,22976,20321,27749,29064,29470,29307,29441
29080,28106,21157,21553,33652,34544,34447,34428,35057,26327,22198,33044,32976,32310,32126,32172,25430,22591,32990,33305,33065,32534,32405,24496,21283,30975,32030,32273,32160,32126
30756,29789,22378,22783,34518,35373,35418,35262,35927,28467,23831,33909,33354,32743,32365,33107,27431,23939,33778,33688,33082,32695,32379,26152,22666,31650,32502,32770,32321,32394
31561,30359,24080,24279,34463,35631,36117,35532,35820,30103,25872,34412,33327,32851,31976,34071,28943,25483,33427,33129,32309,31843,31766,26965,23769,31686,32573,32798,31666,31633
31619,30092,24597,24749,33623,35170,36093,34735,34865,30351,26979,34297,33188,32329,31322,34509,28898,25693,32609,32216,31376,30937,30934,26406,23924,31128,31983,32196,30551,30498
31597,30061,24607,24718,33075,34772,35966,33857,34234,29951,27353,34192,33144,32089,30944,34824,28106,25356,31903,31247,30567,30174,30085,25662,23501,30461,31348,31452,29718,29474
31822,30036,24612,25077,32796,34950,36188,33866,33711,29888,27911,34416,33214,32446,30953,34912,27737,25329,31665,30880,30228,29905,29749,25354,23531,29804,31098,31135,29362,29049
31930,29896,24561,25875,32732,35044,35961,33539,33090,30057,28544,34066,33063,31851,30869,34318,27792,25664,31210,30483,29726,29438,29177,25218,23806,29961,30516,30328,28931,28467
31175,29069,23613,25339,33013,34784,35414,33237,32703,29493,27570,33343,32746,30941,30551,33495,27171,24949,30737,30094,29445,29217,28753,24604,23039,30464,29932,29791,28780,28043
30895,28627,23494,25148,33306,34758,35089,33320,32803,29077,26834,32891,32396,30874,30601,32836,26865,24660,30793,30307,29506,29643,28713,24332,22819,30193,29835,29731,28879,28204
30923,28759,24201,25828,34223,35113,35111,33954,34325,29137,26801,32888,32454,31292,30951,32704,27338,25282,31182,30829,29946,30414,29220,24591,23414,30304,30278,30142,29287,28707
31901,29598,26178,28369,35773,36364,36028,35632,35172,30540,28465,33862,33658,32490,32041,33515,28697,27107,32691,32214,31311,31280,30411,25969,25254,31271,31249,31110,30635,29831
32477,29837,27475,30366,36939,37436,37202,37194,36109,31667,30185,35005,34862,34070,33406,34516,30302,29305,34803,34328,33572,33311,32298,27921,27632,33104,33284,33267,32909,31969
32889,30077,28182,31559,37810,37923,37820,37937,36413,31956,31173,35598,35596,34783,34187,34640,30865,30582,35657,35234,34592,34096,32797,28586,28883,34060,34186,34252,34156,32702
32810,30164,28768,32072,37399,37454,37113,37451,35942,31935,31128,35045,34971,34458,33817,33919,30892,31185,35352,35090,34337,33770,32508,28790,29054,33704,33910,34015,33732,32474
30431,28408,27850,30202,33944,34151,33714,34387,33339,30135,29316,31913,31389,31402,30858,31257,29203,29516,32111,31898,31409,30855,29937,27266,27348,30619,30971,31134,30915,30102
27592,26304,26062,27351,30258,30306,30104,30792,30412,27895,26967,28456,28145,28307,27942,28552,26965,27050,28678,28690,28385,27879,27335,25210,24900,27421,27735,27838,27892,27585
25318,24525,24106,24806,27554,27650,27480,28026,28096,25655,24552,26232,26113,25997,26097,26730,25170,24659,26261,26261,26232,25814,25493,23276,22732,25309,25683,25606,25635,25656
23324,22736,22195,22810,25502,25639,25529,25922,26045,23523,22835,24496,24559,24318,24403,24868,23263,22965,24640,24618,24414,24219,23822,21756,21315,23663,24118,24002,24001,24024
21962,21130,20702,21687,24144,24163,24184,24628,24579,22010,21855,23325,23343,23253,23144,23351,21851,21774,23396,23429,23042,23153,22485,20518,20471,22501,22918,22921,22753,22532
21197,20161,19803,21283,23559,23579,23597,24181,23562,20982,21416,22730,22789,22751,22799,22448,21089,21259,22836,22829,22588,22596,21660,19734,20046,21991,22397,22362,22201,21781
20825,19733,19307,21154,23413,23458,23415,23950,22967,20471,21245,22576,22687,22649,22637,21977,20600,21242,22734,22614,22403,22476,21272,19349,20016,21877,22308,22231,22101,21413
21151,19597,19281,21854,23934,23886,23841,24423,22830,20354,22019,23118,23087,22993,22920,21907,20383,21885,23224,23154,22949,22984,21166,19257,20706,22423,22836,22703,22546,21259
22762,19837,19733,24494,26255,26347,26220,26828,23154,20596,24828,25426,25283,25289,25224,22319,20723,24554,25779,25454,25265,25264,21493,19568,23378,24839,25281,25095,24987,21578
25659,20470,20658,29326,30778,30860,30813,31482,24614,21394,29438,29799,29316,29368,29310,23705,21633,29418,30129,30005,29637,29516,22976,20321,27749,29064,29470,29307,29441,22928
28106,21157,21553,33652,34544,34447,34428,35057,26327,22198,33044,32976,32310,32126,32172,25430,22591,32990,33305,33065,32534,32405,24496,21283,30975,32030,32273,32160,32126,24574
29789,22378,22783,34518,35373,35418,35262,35927,28467,23831,33909,33354,32743,32365,33107,27431,23939,33778,33688,33082,32695,32379,26152,22666,31650,32502,32770,32321,32394,26121
30359,24080,24279,34463,35631,36117,35532,35820,30103,25872,34412,33327,32851,31976,34071,28943,25483,33427,33129,32309,31843,31766,26965,23769,31686,32573,32798,31666,31633,26931
30092,24597,24749,33623,35170,36093,34735,34865,30351,26979,34297,33188,32329,31322,34509,28898,25693,32609,32216,31376,30937,30934,26406,23924,31128,31983,32196,30551,30498,26678
30061,24607,24718,33075,34772,35966,33857,34234,29951,27353,34192,33144,32089,30944,34824,28106,25356,31903,31247,30567,30174,30085,25662,23501,30461,31348,31452,29718,29474,25859
30036,24612,25077,32796,34950,36188,33866,33711,29888,27911,34416,33214,32446,30953,34912,27737,25329,31665,30880,30228,29905,29749,25354,23531,29804,31098,31135,29362,29049,25269
29896,24561,25875,32732,35044,35961,33539,33090,30057,28544,34066,33063,31851,30869,34318,27792,25664,31210,30483,29726,29438,29177,25218,23806,29961,30516,30328,28931,28467,25012
29069,23613,25339,33013,34784,35414,33237,32703,29493,27570,33343,32746,30941,30551,33495,27171,24949,30737,30094,29445,29217,28753,24604,23039,30464,29932,29791,28780,28043,24583
28627,23494,25148,33306,34758,35089,33320,32803,29077,26834,32891,32396,30874,30601,32836,26865,24660,30793,30307,29506,29643,28713,24332,22819,30193,29835,29731,28879,28204,24247
28759,24201,25828,34223,35113,35111,33954,34325,29137,26801,32888,32454,31292,30951,32704,27338,25282,31182,30829,29946,30414,29220,24591,23414,30304,30278,30142,29287,28707,24444
29598,26178,28369,35773,36364,36028,35632,35172,30540,28465,33862,33658,32490,32041,33515,28697,27107,32691,32214,31311,31280,30411,25969,25254,31271,31249,31110,30635,29831,25753
29837,27475,30366,36939,37436,37202,37194,36109,31667,30185,35005,34862,34070,33406,34516,30302,29305,34803,34328,33572,33311,32298,27921,27632,33104,33284,33267,32909,31969,28078
30077,28182,31559,37810,37923,37820,37937,36413,31956,31173,35598,35596,34783,34187,34640,30865,30582,35657,35234,34592,34096,32797,28586,28883,34060,34186,34252,34156,32702,29035
30164,28768,32072,37399,37454,37113,37451,35942,31935,31128,35045,34971,34458,33817,33919,30892,31185,35352,35090,34337,33770,32508,28790,29054,33704,33910,34015,33732,32474,29367
28408,27850,30202,33944,34151,33714,34387,33339,30135,29316,31913,31389,31402,30858,31257,29203,29516,32111,31898,31409,30855,29937,27266,27348,30619,30971,31134,30915,30102,27666
26304,26062,27351,30258,30306,30104,30792,30412,27895,26967,28456,28145,28307,27942,28552,26965,27050,28678,28690,28385,27879,27335,25210,24900,27421,27735,27838,27892,27585,25577
24525,24106,24806,27554,27650,27480,28026,28096,25655,24552,26232,26113,25997,26097,26730,25170,24659,26261,26261,26232,25814,25493,23276,22732,25309,25683,25606,25635,25656,23702
22736,22195,22810,25502,25639,25529,25922,26045,23523,22835,24496,24559,24318,24403,24868,23263,22965,24640,24618,24414,24219,23822,21756,21315,23663,24118,24002,24001,24024,21952
21130,20702,21687,24144,24163,24184,24628,24579,22010,21855,23325,23343,23253,23144,23351,21851,21774,23396,23429,23042,23153,22485,20518,20471,22501,22918,22921,22753,22532,20729
20161,19803,21283,23559,23579,23597,24181,23562,20982,21416,22730,22789,22751,22799,22448,21089,21259,22836,22829,22588,22596,21660,19734,20046,21991,22397,22362,22201,21781,19893
19733,19307,21154,23413,23458,23415,23950,22967,20471,21245,22576,22687,22649,22637,21977,20600,21242,22734,22614,22403,22476,21272,19349,20016,21877,22308,22231,22101,21413,19533
19597,19281,21854,23934,23886,23841,24423,22830,20354,22019,23118,23087,22993,22920,21907,20383,21885,23224,23154,22949,22984,21166,19257,20706,22423,22836,22703,22546,21259,19661
19837,19733,24494,26255,26347,26220,26828,23154,20596,24828,25426,25283,25289,25224,22319,20723,24554,25779,25454,25265,25264,21493,19568,23378,24839,25281,25095,24987,21578,19904
20470,20658,29326,30778,30860,30813,31482,24614,21394,29438,29799,29316,29368,29310,23705,21633,29418,30129,30005,29637,29516,22976,20321,27749,29064,29470,29307,29441,22928,20759
21157,21553,33652,34544,34447,34428,35057,26327,22198,33044,32976,32310,32126,32172,25430,22591,32990,33305,33065,32534,32405,24496,21283,30975,32030,32273,32160,32126,24574,21510
22378,22783,34518,35373,35418,35262,35927,28467,23831,33909,33354,32743,32365,33107,27431,23939,33778,33688,33082,32695,32379,26152,22666,31650,32502,32770,32321,32394,26121,22731
24080,24279,34463,35631,36117,35532,35820,30103,25872,34412,33327,32851,31976,34071,28943,25483,33427,33129,32309,31843,31766,26965,23769,31686,32573,32798,31666,31633,26931,23841
24597,24749,33623,35170,36093,34735,34865,30351,26979,34297,33188,32329,31322,34509,28898,25693,32609,32216,31376,30937,30934,26406,23924,31128,31983,32196,30551,30498,26678,23907
24607,24718,33075,34772,35966,33857,34234,29951,27353,34192,33144,32089,30944,34824,28106,25356,31903,31247,30567,30174,30085,25662,23501,30461,31348,31452,29718,29474,25859,23375
24612,25077,32796,34950,36188,33866,33711,29888,27911,34416,33214,32446,30953,34912,27737,25329,31665,30880,30228,29905,29749,25354,23531,29804,31098,31135,29362,29049,25269,23231
24561,25875,32732,35044,35961,33539,33090,30057,28544,34066,33063,31851,30869,34318,27792,25664,31210,30483,29726,29438,29177,25218,23806,29961,30516,30328,28931,28467,25012,23502
23613,25339,33013,34784,35414,33237,32703,29493,27570,33343,32746,30941,30551,33495,27171,24949,30737,30094,29445,29217,28753,24604,23039,30464,29932,29791,28780,28043,24583,22719
23494,25148,33306,34758,35089,33320,32803,29077,26834,32891,32396,30874,30601,32836,26865,24660,30793,30307,29506,29643,28713,24332,22819,30193,29835,29731,28879,28204,24247,22479
24201,25828,34223,35113,35111,33954,34325,29137,26801,32888,32454,31292,30951,32704,27338,25282,31182,30829,29946,30414,29220,24591,23414,30304,30278,30142,29287,28707,24444,23042
