X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
28777,27928,24359,31411,28446,28700,30647,30812,30284,24981,28852,28083,28200,28427,28023,24000,22037,26610,25987,27592,26933,27022,22725,21490,30254,29329,28540,24729,23183,24066
28375,28022,24851,31186,27987,28381,30697,30143,29975,25137,28713,27883,27886,28436,27694,23785,22339,26631,25778,27439,27095,26976,22596,21790,30243,29053,28456,24964,23385,24470
27884,27013,23792,31143,27527,28014,30533,29492,28451,23895,28479,27552,27541,28145,27263,23239,21552,26208,25469,27182,26843,26641,21780,20969,29552,28238,27914,24075,22529,23717
27814,26368,23308,30754,27474,28251,30397,29244,27321,23243,28585,27580,27402,28243,27089,22871,21336,26103,25589,27328,26821,26628,21735,20802,29017,28085,27602,23520,21920,23302
28515,26377,23682,30835,28457,29153,30786,29678,26780,23510,29016,28219,28231,28932,27669,23254,21895,26708,26223,27605,27480,27192,22448,21472,28754,28538,27988,23776,21753,23499
29637,27190,25145,31000,29527,30041,31097,30525,27236,24996,29973,29243,29251,29690,28398,24261,22994,27377,26954,28014,28319,27971,23357,22570,28742,29151,28653,24685,22627,24147
32097,28905,27945,32953,31838,32148,33096,32466,29015,27645,32227,31442,31343,31412,30033,26365,24996,29071,28429,29347,30133,29499,25003,24281,29851,30861,29740,26178,24161,25406
33443,30034,30336,35072,34213,34293,34905,33735,30678,30169,34283,33801,33652,33399,31579,27847,27149,31087,30383,31321,32082,30734,26647,26297,31445,32795,31294,27801,26008,27275
33116,30156,30782,34893,34540,34379,34565,33470,30860,30758,34049,33851,33611,33445,31348,27843,27600,30994,29988,31047,31696,30119,26758,26694,31177,32661,31136,27942,26471,27537
30409,28280,29007,31815,31597,31594,31680,30876,28882,28995,31001,31075,30829,30625,29059,26249,26251,28288,27647,28541,28991,27733,25006,25448,28740,30126,28664,26266,25306,26109
27804,26103,26463,28496,28572,28478,28445,28307,26515,26442,28014,28029,28072,27911,26812,24403,24305,25494,25161,25757,26298,25297,23188,23723,26181,27513,25939,24353,23656,23956
25894,23992,24188,26119,26219,26066,26137,26194,24502,24104,25757,25885,26014,25848,25206,22865,22705,23870,23515,24075,24667,23677,21524,22222,24380,25403,24008,22656,22136,22210
24323,22131,22484,24303,24673,24455,24671,24465,22350,22501,24083,24448,24375,24226,23851,21430,21529,22608,22416,22935,23615,22367,20177,20953,23142,23716,22392,21155,20763,20510
22830,20886,21454,23140,23559,23203,23589,22989,20930,21498,22979,23371,23330,23078,22581,20483,20622,21678,21401,22107,22584,21203,19085,20198,22071,22434,21150,20001,19629,19880
21993,20122,20953,22757,23015,22664,23034,22029,20105,21007,22545,23007,22793,22669,21901,19831,20225,21175,20945,21654,22154,20550,18503,19837,21515,21766,20535,19203,18876,19250
21536,19748,20964,22587,22904,22425,22812,21584,19750,20956,22477,22719,22753,22483,21452,19534,20162,21214,20847,21527,22076,20162,18162,19844,21446,21443,20069,18860,18567,18451
21435,19676,21688,23013,23417,22999,23286,21475,19641,21671,23086,23228,23259,23065,21411,19526,20714,21604,21371,22001,22454,19969,18179,20403,21864,21919,20181,18963,18673,18219
21679,19967,24345,25373,25743,25347,25675,21952,20143,24571,25277,25321,25598,25329,21809,19812,23017,23233,23591,24062,24340,20249,18409,22581,23616,23777,20968,19285,19209,18509
22940,20612,28915,29659,29906,29403,29610,23044,20692,28976,28955,29088,29160,28836,22614,20177,25977,25553,26597,27048,27248,20733,18448,25342,26156,26285,21855,19357,19695,19094
24000,21223,31597,31885,32113,31620,31981,24401,21106,31325,30978,31151,30720,30348,23487,20403,27292,26776,28377,28527,28654,21738,19174,27500,27931,28014,22554,19707,20340,19216
25822,22443,32103,31411,31746,31370,32094,26934,22617,30951,30757,30828,30276,30142,24789,21392,27612,26997,28243,28386,28366,23206,20355,28836,28966,28828,23528,20957,21668,20205
26986,23902,31957,30407,30916,30701,31789,28939,23853,30136,30032,29734,29363,29356,25320,22009,27170,26526,27717,27754,27966,23805,21219,29462,28881,28813,24168,22103,22826,21694
27298,24073,31597,29327,29782,30320,31275,29530,24052,29346,28865,29008,28344,28433,24907,22007,26559,25914,27138,27151,27376,23193,21364,29740,28747,28488,24494,22800,23260,22942
27303,23820,31285,28750,28907,30327,30806,29750,24312,28792,28161,28261,28038,27979,24314,21736,26488,25962,27251,26934,26930,22769,21257,29909,28894,28513,24421,23043,23511,23846
27928,24359,31411,28446,28700,30647,30812,30284,24981,28852,28083,28200,28427,28023,24000,22037,26610,25987,27592,26933,27022,22725,21490,30254,29329,28540,24729,23183,24066,24267
28022,24851,31186,27987,28381,30697,30143,29975,25137,28713,27883,27886,28436,27694,23785,22339,26631,25778,27439,27095,26976,22596,21790,30243,29053,28456,24964,23385,24470,24255
27013,23792,31143,27527,28014,30533,29492,28451,23895,28479,27552,27541,28145,27263,23239,21552,26208,25469,27182,26843,26641,21780,20969,29552,28238,27914,24075,22529,23717,23364
26368,23308,30754,27474,28251,30397,29244,27321,23243,28585,27580,27402,28243,27089,22871,21336,26103,25589,27328,26821,26628,21735,20802,29017,28085,27602,23520,21920,23302,22359
26377,23682,30835,28457,29153,30786,29678,26780,23510,29016,28219,28231,28932,27669,23254,21895,26708,26223,27605,27480,27192,22448,21472,28754,28538,27988,23776,21753,23499,22118
27190,25145,31000,29527,30041,31097,30525,27236,24996,29973,29243,29251,29690,28398,24261,22994,27377,26954,28014,28319,27971,23357,22570,28742,29151,28653,24685,22627,24147,22292
28905,27945,32953,31838,32148,33096,32466,29015,27645,32227,31442,31343,31412,30033,26365,24996,29071,28429,29347,30133,29499,25003,24281,29851,30861,29740,26178,24161,25406,23116
30034,30336,35072,34213,34293,34905,33735,30678,30169,34283,33801,33652,33399,31579,27847,27149,31087,30383,31321,32082,30734,26647,26297,31445,32795,31294,27801,26008,27275,25335
30156,30782,34893,34540,34379,34565,33470,30860,30758,34049,33851,33611,33445,31348,27843,27600,30994,29988,31047,31696,30119,26758,26694,31177,32661,31136,27942,26471,27537,27735
28280,29007,31815,31597,31594,31680,30876,28882,28995,31001,31075,30829,30625,29059,26249,26251,28288,27647,28541,28991,27733,25006,25448,28740,30126,28664,26266,25306,26109,27122
26103,26463,28496,28572,28478,28445,28307,26515,26442,28014,28029,28072,27911,26812,24403,24305,25494,25161,25757,26298,25297,23188,23723,26181,27513,25939,24353,23656,23956,24735
23992,24188,26119,26219,26066,26137,26194,24502,24104,25757,25885,26014,25848,25206,22865,22705,23870,23515,24075,24667,23677,21524,22222,24380,25403,24008,22656,22136,22210,22274
22131,22484,24303,24673,24455,24671,24465,22350,22501,24083,24448,24375,24226,23851,21430,21529,22608,22416,22935,23615,22367,20177,20953,23142,23716,22392,21155,20763,20510,20371
20886,21454,23140,23559,23203,23589,22989,20930,21498,22979,23371,23330,23078,22581,20483,20622,21678,21401,22107,22584,21203,19085,20198,22071,22434,21150,20001,19629,19880,19147
20122,20953,22757,23015,22664,23034,22029,20105,21007,22545,23007,22793,22669,21901,19831,20225,21175,20945,21654,22154,20550,18503,19837,21515,21766,20535,19203,18876,19250,18468
19748,20964,22587,22904,22425,22812,21584,19750,20956,22477,22719,22753,22483,21452,19534,20162,21214,20847,21527,22076,20162,18162,19844,21446,21443,20069,18860,18567,18451,18250
19676,21688,23013,23417,22999,23286,21475,19641,21671,23086,23228,23259,23065,21411,19526,20714,21604,21371,22001,22454,19969,18179,20403,21864,21919,20181,18963,18673,18219,18457
19967,24345,25373,25743,25347,25675,21952,20143,24571,25277,25321,25598,25329,21809,19812,23017,23233,23591,24062,24340,20249,18409,22581,23616,23777,20968,19285,19209,18509,19868
20612,28915,29659,29906,29403,29610,23044,20692,28976,28955,29088,29160,28836,22614,20177,25977,25553,26597,27048,27248,20733,18448,25342,26156,26285,21855,19357,19695,19094,22384
21223,31597,31885,32113,31620,31981,24401,21106,31325,30978,31151,30720,30348,23487,20403,27292,26776,28377,28527,28654,21738,19174,27500,27931,28014,22554,19707,20340,19216,24116
22443,32103,31411,31746,31370,32094,26934,22617,30951,30757,30828,30276,30142,24789,21392,27612,26997,28243,28386,28366,23206,20355,28836,28966,28828,23528,20957,21668,20205,24856
23902,31957,30407,30916,30701,31789,28939,23853,30136,30032,29734,29363,29356,25320,22009,27170,26526,27717,27754,27966,23805,21219,29462,28881,28813,24168,22103,22826,21694,24978
24073,31597,29327,29782,30320,31275,29530,24052,29346,28865,29008,28344,28433,24907,22007,26559,25914,27138,27151,27376,23193,21364,29740,28747,28488,24494,22800,23260,22942,24344
23820,31285,28750,28907,30327,30806,29750,24312,28792,28161,28261,28038,27979,24314,21736,26488,25962,27251,26934,26930,22769,21257,29909,28894,28513,24421,23043,23511,23846,23856
24359,31411,28446,28700,30647,30812,30284,24981,28852,28083,28200,28427,28023,24000,22037,26610,25987,27592,26933,27022,22725,21490,30254,29329,28540,24729,23183,24066,24267,23527
24851,31186,27987,28381,30697,30143,29975,25137,28713,27883,27886,28436,27694,23785,22339,26631,25778,27439,27095,26976,22596,21790,30243,29053,28456,24964,23385,24470,24255,23634
23792,31143,27527,28014,30533,29492,28451,23895,28479,27552,27541,28145,27263,23239,21552,26208,25469,27182,26843,26641,21780,20969,29552,28238,27914,24075,22529,23717,23364,22961
23308,30754,27474,28251,30397,29244,27321,23243,28585,27580,27402,28243,27089,22871,21336,26103,25589,27328,26821,26628,21735,20802,29017,28085,27602,23520,21920,23302,22359,22219
23682,30835,28457,29153,30786,29678,26780,23510,29016,28219,28231,28932,27669,23254,21895,26708,26223,27605,27480,27192,22448,21472,28754,28538,27988,23776,21753,23499,22118,22164
25145,31000,29527,30041,31097,30525,27236,24996,29973,29243,29251,29690,28398,24261,22994,27377,26954,28014,28319,27971,23357,22570,28742,29151,28653,24685,22627,24147,22292,22944
27945,32953,31838,32148,33096,32466,29015,27645,32227,31442,31343,31412,30033,26365,24996,29071,28429,29347,30133,29499,25003,24281,29851,30861,29740,26178,24161,25406,23116,24696
30336,35072,34213,34293,34905,33735,30678,30169,34283,33801,33652,33399,31579,27847,27149,31087,30383,31321,32082,30734,26647,26297,31445,32795,31294,27801,26008,27275,25335,27352
30782,34893,34540,34379,34565,33470,30860,30758,34049,33851,33611,33445,31348,27843,27600,30994,29988,31047,31696,30119,26758,26694,31177,32661,31136,27942,26471,27537,27735,30351
29007,31815,31597,31594,31680,30876,28882,28995,31001,31075,30829,30625,29059,26249,26251,28288,27647,28541,28991,27733,25006,25448,28740,30126,28664,26266,25306,26109,27122,29072
26463,28496,28572,28478,28445,28307,26515,26442,28014,28029,28072,27911,26812,24403,24305,25494,25161,25757,26298,25297,23188,23723,26181,27513,25939,24353,23656,23956,24735,26437
24188,26119,26219,26066,26137,26194,24502,24104,25757,25885,26014,25848,25206,22865,22705,23870,23515,24075,24667,23677,21524,22222,24380,25403,24008,22656,22136,22210,22274,24108
22484,24303,24673,24455,24671,24465,22350,22501,24083,24448,24375,24226,23851,21430,21529,22608,22416,22935,23615,22367,20177,20953,23142,23716,22392,21155,20763,20510,20371,22353
21454,23140,23559,23203,23589,22989,20930,21498,22979,23371,23330,23078,22581,20483,20622,21678,21401,22107,22584,21203,19085,20198,22071,22434,21150,20001,19629,19880,19147,21234
20953,22757,23015,22664,23034,22029,20105,21007,22545,23007,22793,22669,21901,19831,20225,21175,20945,21654,22154,20550,18503,19837,21515,21766,20535,19203,18876,19250,18468,20624
20964,22587,22904,22425,22812,21584,19750,20956,22477,22719,22753,22483,21452,19534,20162,21214,20847,21527,22076,20162,18162,19844,21446,21443,20069,18860,18567,18451,18250,20445
21688,23013,23417,22999,23286,21475,19641,21671,23086,23228,23259,23065,21411,19526,20714,21604,21371,22001,22454,19969,18179,20403,21864,21919,20181,18963,18673,18219,18457,20927
24345,25373,25743,25347,25675,21952,20143,24571,25277,25321,25598,25329,21809,19812,23017,23233,23591,24062,24340,20249,18409,22581,23616,23777,20968,19285,19209,18509,19868,23260
28915,29659,29906,29403,29610,23044,20692,28976,28955,29088,29160,28836,22614,20177,25977,25553,26597,27048,27248,20733,18448,25342,26156,26285,21855,19357,19695,19094,22384,27176
31597,31885,32113,31620,31981,24401,21106,31325,30978,31151,30720,30348,23487,20403,27292,26776,28377,28527,28654,21738,19174,27500,27931,28014,22554,19707,20340,19216,24116,29723
32103,31411,31746,31370,32094,26934,22617,30951,30757,30828,30276,30142,24789,21392,27612,26997,28243,28386,28366,23206,20355,28836,28966,28828,23528,20957,21668,20205,24856,30227
31957,30407,30916,30701,31789,28939,23853,30136,30032,29734,29363,29356,25320,22009,27170,26526,27717,27754,27966,23805,21219,29462,28881,28813,24168,22103,22826,21694,24978,29842
31597,29327,29782,30320,31275,29530,24052,29346,28865,29008,28344,28433,24907,22007,26559,25914,27138,27151,27376,23193,21364,29740,28747,28488,24494,22800,23260,22942,24344,29266
31285,28750,28907,30327,30806,29750,24312,28792,28161,28261,28038,27979,24314,21736,26488,25962,27251,26934,26930,22769,21257,29909,28894,28513,24421,23043,23511,23846,23856,28839
31411,28446,28700,30647,30812,30284,24981,28852,28083,28200,28427,28023,24000,22037,26610,25987,27592,26933,27022,22725,21490,30254,29329,28540,24729,23183,24066,24267,23527,28366
31186,27987,28381,30697,30143,29975,25137,28713,27883,27886,28436,27694,23785,22339,26631,25778,27439,27095,26976,22596,21790,30243,29053,28456,24964,23385,24470,24255,23634,28013
31143,27527,28014,30533,29492,28451,23895,28479,27552,27541,28145,27263,23239,21552,26208,25469,27182,26843,26641,21780,20969,29552,28238,27914,24075,22529,23717,23364,22961,27382
30754,27474,28251,30397,29244,27321,23243,28585,27580,27402,28243,27089,22871,21336,26103,25589,27328,26821,26628,21735,20802,29017,28085,27602,23520,21920,23302,22359,22219,27108
30835,28457,29153,30786,29678,26780,23510,29016,28219,28231,28932,27669,23254,21895,26708,26223,27605,27480,27192,22448,21472,28754,28538,27988,23776,21753,23499,22118,22164,27503
31000,29527,30041,31097,30525,27236,24996,29973,29243,29251,29690,28398,24261,22994,27377,26954,28014,28319,27971,23357,22570,28742,29151,28653,24685,22627,24147,22292,22944,27961
32953,31838,32148,33096,32466,29015,27645,32227,31442,31343,31412,30033,26365,24996,29071,28429,29347,30133,29499,25003,24281,29851,30861,29740,26178,24161,25406,23116,24696,28812
35072,34213,34293,34905,33735,30678,30169,34283,33801,33652,33399,31579,27847,27149,31087,30383,31321,32082,30734,26647,26297,31445,32795,31294,27801,26008,27275,25335,27352,30916
34893,34540,34379,34565,33470,30860,30758,34049,33851,33611,33445,31348,27843,27600,30994,29988,31047,31696,30119,26758,26694,31177,32661,31136,27942,26471,27537,27735,30351,32988
31815,31597,31594,31680,30876,28882,28995,31001,31075,30829,30625,29059,26249,26251,28288,27647,28541,28991,27733,25006,25448,28740,30126,28664,26266,25306,26109,27122,29072,30932
28496,28572,28478,28445,28307,26515,26442,28014,28029,28072,27911,26812,24403,24305,25494,25161,25757,26298,25297,23188,23723,26181,27513,25939,24353,23656,23956,24735,26437,27965
26119,26219,26066,26137,26194,24502,24104,25757,25885,26014,25848,25206,22865,22705,23870,23515,24075,24667,23677,21524,22222,24380,25403,24008,22656,22136,22210,22274,24108,25679
24303,24673,24455,24671,24465,22350,22501,24083,24448,24375,24226,23851,21430,21529,22608,22416,22935,23615,22367,20177,20953,23142,23716,22392,21155,20763,20510,20371,22353,23901
23140,23559,23203,23589,22989,20930,21498,22979,23371,23330,23078,22581,20483,20622,21678,21401,22107,22584,21203,19085,20198,22071,22434,21150,20001,19629,19880,19147,21234,22581
22757,23015,22664,23034,22029,20105,21007,22545,23007,22793,22669,21901,19831,20225,21175,20945,21654,22154,20550,18503,19837,21515,21766,20535,19203,18876,19250,18468,20624,21866
22587,22904,22425,22812,21584,19750,20956,22477,22719,22753,22483,21452,19534,20162,21214,20847,21527,22076,20162,18162,19844,21446,21443,20069,18860,18567,18451,18250,20445,21574
23013,23417,22999,23286,21475,19641,21671,23086,23228,23259,23065,21411,19526,20714,21604,21371,22001,22454,19969,18179,20403,21864,21919,20181,18963,18673,18219,18457,20927,21991
25373,25743,25347,25675,21952,20143,24571,25277,25321,25598,25329,21809,19812,23017,23233,23591,24062,24340,20249,18409,22581,23616,23777,20968,19285,19209,18509,19868,23260,24198
29659,29906,29403,29610,23044,20692,28976,28955,29088,29160,28836,22614,20177,25977,25553,26597,27048,27248,20733,18448,25342,26156,26285,21855,19357,19695,19094,22384,27176,27814
31885,32113,31620,31981,24401,21106,31325,30978,31151,30720,30348,23487,20403,27292,26776,28377,28527,28654,21738,19174,27500,27931,28014,22554,19707,20340,19216,24116,29723,30064
31411,31746,31370,32094,26934,22617,30951,30757,30828,30276,30142,24789,21392,27612,26997,28243,28386,28366,23206,20355,28836,28966,28828,23528,20957,21668,20205,24856,30227,30362
30407,30916,30701,31789,28939,23853,30136,30032,29734,29363,29356,25320,22009,27170,26526,27717,27754,27966,23805,21219,29462,28881,28813,24168,22103,22826,21694,24978,29842,29642
29327,29782,30320,31275,29530,24052,29346,28865,29008,28344,28433,24907,22007,26559,25914,27138,27151,27376,23193,21364,29740,28747,28488,24494,22800,23260,22942,24344,29266,28492
28750,28907,30327,30806,29750,24312,28792,28161,28261,28038,27979,24314,21736,26488,25962,27251,26934,26930,22769,21257,29909,28894,28513,24421,23043,23511,23846,23856,28839,27904
28446,28700,30647,30812,30284,24981,28852,28083,28200,28427,28023,24000,22037,26610,25987,27592,26933,27022,22725,21490,30254,29329,28540,24729,23183,24066,24267,23527,28366,27741
27987,28381,30697,30143,29975,25137,28713,27883,27886,28436,27694,23785,22339,26631,25778,27439,27095,26976,22596,21790,30243,29053,28456,24964,23385,24470,24255,23634,28013,27283
27527,28014,30533,29492,28451,23895,28479,27552,27541,28145,27263,23239,21552,26208,25469,27182,26843,26641,21780,20969,29552,28238,27914,24075,22529,23717,23364,22961,27382,26284
27474,28251,30397,29244,27321,23243,28585,27580,27402,28243,27089,22871,21336,26103,25589,27328,26821,26628,21735,20802,29017,28085,27602,23520,21920,23302,22359,22219,27108,25476
28457,29153,30786,29678,26780,23510,29016,28219,28231,28932,27669,23254,21895,26708,26223,27605,27480,27192,22448,21472,28754,28538,27988,23776,21753,23499,22118,22164,27503,25613
29527,30041,31097,30525,27236,24996,29973,29243,29251,29690,28398,24261,22994,27377,26954,28014,28319,27971,23357,22570,28742,29151,28653,24685,22627,24147,22292,22944,27961,26324
31838,32148,33096,32466,29015,27645,32227,31442,31343,31412,30033,26365,24996,29071,28429,29347,30133,29499,25003,24281,29851,30861,29740,26178,24161,25406,23116,24696,28812,27455
34213,34293,34905,33735,30678,30169,34283,33801,33652,33399,31579,27847,27149,31087,30383,31321,32082,30734,26647,26297,31445,32795,31294,27801,26008,27275,25335,27352,30916,29671
34540,34379,34565,33470,30860,30758,34049,33851,33611,33445,31348,27843,27600,30994,29988,31047,31696,30119,26758,26694,31177,32661,31136,27942,26471,27537,27735,30351,32988,32079
31597,31594,31680,30876,28882,28995,31001,31075,30829,30625,29059,26249,26251,28288,27647,28541,28991,27733,25006,25448,28740,30126,28664,26266,25306,26109,27122,29072,30932,30158
28572,28478,28445,28307,26515,26442,28014,28029,28072,27911,26812,24403,24305,25494,25161,25757,26298,25297,23188,23723,26181,27513,25939,24353,23656,23956,24735,26437,27965,27227
26219,26066,26137,26194,24502,24104,25757,25885,26014,25848,25206,22865,22705,23870,23515,24075,24667,23677,21524,22222,24380,25403,24008,22656,22136,22210,22274,24108,25679,24967
24673,24455,24671,24465,22350,22501,24083,24448,24375,24226,23851,21430,21529,22608,22416,22935,23615,22367,20177,20953,23142,23716,22392,21155,20763,20510,20371,22353,23901,23444
23559,23203,23589,22989,20930,21498,22979,23371,23330,23078,22581,20483,20622,21678,21401,22107,22584,21203,19085,20198,22071,22434,21150,20001,19629,19880,19147,21234,22581,22461
23015,22664,23034,22029,20105,21007,22545,23007,22793,22669,21901,19831,20225,21175,20945,21654,22154,20550,18503,19837,21515,21766,20535,19203,18876,19250,18468,20624,21866,21969
22904,22425,22812,21584,19750,20956,22477,22719,22753,22483,21452,19534,20162,21214,20847,21527,22076,20162,18162,19844,21446,21443,20069,18860,18567,18451,18250,20445,21574,21771
23417,22999,23286,21475,19641,21671,23086,23228,23259,23065,21411,19526,20714,21604,21371,22001,22454,19969,18179,20403,21864,21919,20181,18963,18673,18219,18457,20927,21991,22296
25743,25347,25675,21952,20143,24571,25277,25321,25598,25329,21809,19812,23017,23233,23591,24062,24340,20249,18409,22581,23616,23777,20968,19285,19209,18509,19868,23260,24198,24268
29906,29403,29610,23044,20692,28976,28955,29088,29160,28836,22614,20177,25977,25553,26597,27048,27248,20733,18448,25342,26156,26285,21855,19357,19695,19094,22384,27176,27814,27630
32113,31620,31981,24401,21106,31325,30978,31151,30720,30348,23487,20403,27292,26776,28377,28527,28654,21738,19174,27500,27931,28014,22554,19707,20340,19216,24116,29723,30064,29554
31746,31370,32094,26934,22617,30951,30757,30828,30276,30142,24789,21392,27612,26997,28243,28386,28366,23206,20355,28836,28966,28828,23528,20957,21668,20205,24856,30227,30362,29535
30916,30701,31789,28939,23853,30136,30032,29734,29363,29356,25320,22009,27170,26526,27717,27754,27966,23805,21219,29462,28881,28813,24168,22103,22826,21694,24978,29842,29642,28487
29782,30320,31275,29530,24052,29346,28865,29008,28344,28433,24907,22007,26559,25914,27138,27151,27376,23193,21364,29740,28747,28488,24494,22800,23260,22942,24344,29266,28492,27288
28907,30327,30806,29750,24312,28792,28161,28261,28038,27979,24314,21736,26488,25962,27251,26934,26930,22769,21257,29909,28894,28513,24421,23043,23511,23846,23856,28839,27904,26423
28700,30647,30812,30284,24981,28852,28083,28200,28427,28023,24000,22037,26610,25987,27592,26933,27022,22725,21490,30254,29329,28540,24729,23183,24066,24267,23527,28366,27741,25884
28381,30697,30143,29975,25137,28713,27883,27886,28436,27694,23785,22339,26631,25778,27439,27095,26976,22596,21790,30243,29053,28456,24964,23385,24470,24255,23634,28013,27283,25415
28014,30533,29492,28451,23895,28479,27552,27541,28145,27263,23239,21552,26208,25469,27182,26843,26641,21780,20969,29552,28238,27914,24075,22529,23717,23364,22961,27382,26284,24833
28251,30397,29244,27321,23243,28585,27580,27402,28243,27089,22871,21336,26103,25589,27328,26821,26628,21735,20802,29017,28085,27602,23520,21920,23302,22359,22219,27108,25476,24724
29153,30786,29678,26780,23510,29016,28219,28231,28932,27669,23254,21895,26708,26223,27605,27480,27192,22448,21472,28754,28538,27988,23776,21753,23499,22118,22164,27503,25613,25258
